"Regionskode";"Region";"Dato";"Indlæggelser";"timestamp_2025-10-21T10:00:08.562"
1082;Midtjylland;2020-03-22;7;
1081;Nordjylland;2020-03-22;3;
1085;Sjælland;2020-03-22;7;
1083;Syddanmark;2020-03-22;3;
1084;Hovedstaden;2020-03-23;43;
1082;Midtjylland;2020-03-23;16;
1081;Nordjylland;2020-03-23;5;
1085;Sjælland;2020-03-23;11;
1083;Syddanmark;2020-03-23;10;
1084;Hovedstaden;2020-03-24;37;
1082;Midtjylland;2020-03-24;14;
1081;Nordjylland;2020-03-24;6;
1085;Sjælland;2020-03-24;12;
1083;Syddanmark;2020-03-24;12;
1084;Hovedstaden;2020-03-25;40;
1082;Midtjylland;2020-03-25;14;
1081;Nordjylland;2020-03-25;6;
1085;Sjælland;2020-03-25;18;
1083;Syddanmark;2020-03-25;12;
1084;Hovedstaden;2020-03-26;41;
1082;Midtjylland;2020-03-26;12;
1081;Nordjylland;2020-03-26;6;
1085;Sjælland;2020-03-26;10;
1083;Syddanmark;2020-03-26;7;
1084;Hovedstaden;2020-03-27;38;
1082;Midtjylland;2020-03-27;11;
1081;Nordjylland;2020-03-27;5;
1085;Sjælland;2020-03-27;15;
1083;Syddanmark;2020-03-27;18;
1084;Hovedstaden;2020-03-28;31;
1082;Midtjylland;2020-03-28;9;
1081;Nordjylland;2020-03-28;5;
1085;Sjælland;2020-03-28;21;
1083;Syddanmark;2020-03-28;16;
1084;Hovedstaden;2020-03-29;25;
1082;Midtjylland;2020-03-29;4;
1081;Nordjylland;2020-03-29;4;
1085;Sjælland;2020-03-29;9;
1083;Syddanmark;2020-03-29;9;
1084;Hovedstaden;2020-03-30;38;
1082;Midtjylland;2020-03-30;11;
1081;Nordjylland;2020-03-30;1;
1085;Sjælland;2020-03-30;13;
1083;Syddanmark;2020-03-30;4;
1084;Hovedstaden;2020-03-31;28;
1082;Midtjylland;2020-03-31;9;
1081;Nordjylland;2020-03-31;2;
1085;Sjælland;2020-03-31;8;
1083;Syddanmark;2020-03-31;4;
1084;Hovedstaden;2020-04-01;29;
1082;Midtjylland;2020-04-01;6;
1081;Nordjylland;2020-04-01;3;
1085;Sjælland;2020-04-01;7;
1083;Syddanmark;2020-04-01;13;
1084;Hovedstaden;2020-04-02;27;
1082;Midtjylland;2020-04-02;7;
1081;Nordjylland;2020-04-02;3;
1085;Sjælland;2020-04-02;8;
1083;Syddanmark;2020-04-02;6;
1084;Hovedstaden;2020-04-03;24;
1082;Midtjylland;2020-04-03;11;
1081;Nordjylland;2020-04-03;7;
1085;Sjælland;2020-04-03;7;
1083;Syddanmark;2020-04-03;8;
1084;Hovedstaden;2020-04-04;20;
1082;Midtjylland;2020-04-04;5;
1081;Nordjylland;2020-04-04;3;
1085;Sjælland;2020-04-04;7;
1084;Hovedstaden;2020-04-05;19;
1082;Midtjylland;2020-04-05;2;
1081;Nordjylland;2020-04-05;1;
1085;Sjælland;2020-04-05;5;
1083;Syddanmark;2020-04-05;4;
1084;Hovedstaden;2020-04-06;22;
1082;Midtjylland;2020-04-06;4;
1081;Nordjylland;2020-04-06;1;
1085;Sjælland;2020-04-06;10;
1083;Syddanmark;2020-04-06;7;
1084;Hovedstaden;2020-04-07;26;
1082;Midtjylland;2020-04-07;6;
1085;Sjælland;2020-04-07;4;
1083;Syddanmark;2020-04-07;5;
1084;Hovedstaden;2020-04-08;11;
1082;Midtjylland;2020-04-08;3;
1081;Nordjylland;2020-04-08;1;
1085;Sjælland;2020-04-08;4;
1083;Syddanmark;2020-04-08;4;
1084;Hovedstaden;2020-04-09;18;
1082;Midtjylland;2020-04-09;7;
1085;Sjælland;2020-04-09;7;
1083;Syddanmark;2020-04-09;1;
1084;Hovedstaden;2020-04-10;15;
1082;Midtjylland;2020-04-10;3;
1081;Nordjylland;2020-04-10;4;
1085;Sjælland;2020-04-10;7;
1083;Syddanmark;2020-04-10;1;
1084;Hovedstaden;2020-04-11;15;
1082;Midtjylland;2020-04-11;3;
1081;Nordjylland;2020-04-11;1;
1085;Sjælland;2020-04-11;4;
1083;Syddanmark;2020-04-11;4;
1084;Hovedstaden;2020-04-12;9;
1082;Midtjylland;2020-04-12;4;
1081;Nordjylland;2020-04-12;2;
1085;Sjælland;2020-04-12;6;
1083;Syddanmark;2020-04-12;3;
1084;Hovedstaden;2020-04-13;15;
1082;Midtjylland;2020-04-13;3;
1085;Sjælland;2020-04-13;6;
1083;Syddanmark;2020-04-13;1;
1084;Hovedstaden;2020-04-14;19;
1082;Midtjylland;2020-04-14;9;
1081;Nordjylland;2020-04-14;1;
1085;Sjælland;2020-04-14;4;
1083;Syddanmark;2020-04-14;2;
1084;Hovedstaden;2020-04-15;9;
1082;Midtjylland;2020-04-15;4;
1081;Nordjylland;2020-04-15;1;
1085;Sjælland;2020-04-15;11;
1083;Syddanmark;2020-04-15;1;
1084;Hovedstaden;2020-04-16;14;
1082;Midtjylland;2020-04-16;8;
1085;Sjælland;2020-04-16;6;
1083;Syddanmark;2020-04-16;1;
1084;Hovedstaden;2020-04-17;10;
1082;Midtjylland;2020-04-17;2;
1085;Sjælland;2020-04-17;8;
1083;Syddanmark;2020-04-17;2;
1084;Hovedstaden;2020-04-18;10;
1082;Midtjylland;2020-04-18;2;
1085;Sjælland;2020-04-18;7;
1083;Syddanmark;2020-04-18;1;
1084;Hovedstaden;2020-04-19;18;
1082;Midtjylland;2020-04-19;4;
1085;Sjælland;2020-04-19;10;
1084;Hovedstaden;2020-04-20;16;
1082;Midtjylland;2020-04-20;4;
1085;Sjælland;2020-04-20;7;
1083;Syddanmark;2020-04-20;2;
1084;Hovedstaden;2020-04-21;15;
1082;Midtjylland;2020-04-21;5;
1085;Sjælland;2020-04-21;11;
1083;Syddanmark;2020-04-21;2;
1084;Hovedstaden;2020-04-22;13;
1082;Midtjylland;2020-04-22;1;
1085;Sjælland;2020-04-22;6;
1083;Syddanmark;2020-04-22;3;
1084;Hovedstaden;2020-04-23;14;
1082;Midtjylland;2020-04-23;3;
1085;Sjælland;2020-04-23;8;
1083;Syddanmark;2020-04-23;1;
