country,population_2022,source
Denmark,5873420,Statistics Denmark (DST) - Population 1 January 2022
Finland,5548241,Statistics Finland - Population structure 31 December 2022
Iceland,387758,Statistics Iceland - Population 1 January 2022
Norway,5425270,Statistics Norway (SSB) - Population 1 January 2022
Sweden,10452326,Statistics Sweden (SCB) - Year-end population 2022
