"Uge";"Køn";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-10-21T10:00:08.562"
2021-U29;M;7784;98;1,3;
2021-U30;K;8181;103;1,5;
2021-U30;M;6857;112;1,3;
2021-U31;K;7791;106;1,2;
2021-U31;M;6454;113;1,6;
2021-U32;K;7639;120;2,0;
2021-U32;M;6265;116;2,4;
2021-U33;K;8938;125;3,1;
2021-U33;M;7179;112;2,9;
2021-U34;K;9544;112;2,9;
2021-U34;M;7669;103;2,2;
2021-U35;K;7549;81;2,5;
2021-U35;M;6014;73;2,7;
2021-U36;K;6195;58;1,8;
2021-U36;M;4878;53;2,2;
2021-U37;K;5000;38;1,3;
2021-U37;M;3952;37;1,2;
2021-U38;K;4669;44;1,2;
2021-U38;M;3551;41;1,6;
2021-U39;K;4727;53;1,0;
2021-U39;M;3593;50;1,5;
2021-U40;K;5228;71;1,5;
2021-U40;M;3898;67;1,6;
2021-U41;K;7194;92;1,9;
2021-U41;M;5437;80;2,3;
2021-U42;K;8928;153;3,1;
2021-U42;M;7022;145;3,8;
2021-U43;K;12138;210;3,9;
2021-U43;M;9353;198;4,5;
2021-U44;K;16046;274;4,7;
2021-U44;M;12355;274;5,4;
2021-U45;K;20805;395;4,7;
2021-U45;M;15718;386;7,4;
2021-U46;K;22607;488;7,2;
2021-U46;M;16796;477;7,8;
2021-U47;K;23902;500;7,3;
2021-U47;M;18097;496;8,0;
2021-U48;K;24644;590;8,5;
2021-U48;M;18930;593;8,7;
2021-U49;K;27114;825;8,3;
2021-U49;M;20761;829;8,9;
2021-U50;K;29577;1301;10,1;
2021-U50;M;22373;1287;11,0;
2021-U51;K;24558;1374;10,4;
2021-U51;M;18679;1353;10,6;
2021-U52;K;21512;2195;15,6;
2021-U52;M;16787;2118;14,4;
2022-U01;K;24862;2357;15,4;
2022-U01;M;19276;2305;13,2;
2022-U02;K;26130;3234;16,5;
2022-U02;M;20170;3021;16,4;
2022-U03;K;29774;5048;20,9;
2022-U03;M;23437;4677;17,5;
2022-U04;K;25353;5300;26,4;
2022-U04;M;19726;4873;20,7;
2022-U05;K;21261;5302;32,2;
2022-U05;M;16359;4787;28,2;
2022-U06;K;19940;5644;35,6;
2022-U06;M;15523;5115;35,8;
2022-U07;K;14904;4285;38,9;
2022-U07;M;11685;3857;39,4;
2022-U08;K;10678;2744;34,7;
2022-U08;M;8171;2434;36,6;
2022-U09;K;8176;2007;29,8;
2022-U09;M;6165;1761;32,0;
2022-U10;K;6641;1452;25,0;
2022-U10;M;5062;1289;26,3;
2022-U11;K;4560;934;21,0;
2022-U11;M;3469;798;22,4;
2022-U12;K;3482;648;15,9;
