"Region";"Regionskode";"Bekræftede tilfælde i alt";"Incidens";"Bekræftede tilfælde i alt de seneste 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage";"antal_bor";"timestamp_2025-10-21T10:00:08.562"
Hovedstaden;1084;1150514;59377;120;6,2;1808318;93326;1465;75,6;8,19;1937642;
Midtjylland;1082;776295;56326;20;1,5;1258186;91291;174;12,6;11,49;1378216;
Nordjylland;1081;347832;58701;22;3,7;567056;95698;218;36,8;10,09;592545;
Sjælland;1085;468586;54814;18;2,1;793452;92816;365;42,7;4,93;854866;
Syddanmark;1083;692053;55757;40;3,2;1156609;93185;416;33,5;9,62;1241190;
